date	One Must Imagine Sisyphus Happy	isPartial
2019-01-06	0	False
2019-01-13	4	False
2019-01-20	2	False
2019-01-27	3	False
2019-02-03	3	False
2019-02-10	5	False
2019-02-17	2	False
2019-02-24	5	False
2019-03-03	2	False
2019-03-10	2	False
2019-03-17	0	False
2019-03-24	2	False
2019-03-31	2	False
2019-04-07	4	False
2019-04-14	2	False
2019-04-21	4	False
2019-04-28	0	False
2019-05-05	4	False
2019-05-12	0	False
2019-05-19	0	False
2019-05-26	2	False
2019-06-02	6	False
2019-06-09	5	False
2019-06-16	3	False
2019-06-23	4	False
2019-06-30	0	False
2019-07-07	0	False
2019-07-14	2	False
2019-07-21	3	False
2019-07-28	0	False
2019-08-04	0	False
2019-08-11	4	False
2019-08-18	3	False
2019-08-25	0	False
2019-09-01	3	False
2019-09-08	3	False
2019-09-15	5	False
2019-09-22	2	False
2019-09-29	0	False
2019-10-06	0	False
2019-10-13	4	False
2019-10-20	0	False
2019-10-27	2	False
2019-11-03	2	False
2019-11-10	0	False
2019-11-17	0	False
2019-11-24	2	False
2019-12-01	4	False
2019-12-08	6	False
2019-12-15	2	False
2019-12-22	2	False
2019-12-29	3	False
2020-01-05	4	False
2020-01-12	5	False
2020-01-19	0	False
2020-01-26	4	False
2020-02-02	4	False
2020-02-09	5	False
2020-02-16	3	False
2020-02-23	6	False
2020-03-01	0	False
2020-03-08	0	False
2020-03-15	5	False
2020-03-22	3	False
2020-03-29	3	False
2020-04-05	5	False
2020-04-12	6	False
2020-04-19	2	False
2020-04-26	5	False
2020-05-03	5	False
2020-05-10	8	False
2020-05-17	9	False
2020-05-24	11	False
2020-05-31	7	False
2020-06-07	4	False
2020-06-14	4	False
2020-06-21	10	False
2020-06-28	4	False
2020-07-05	11	False
2020-07-12	0	False
2020-07-19	4	False
2020-07-26	5	False
2020-08-02	6	False
2020-08-09	6	False
2020-08-16	6	False
2020-08-23	3	False
2020-08-30	2	False
2020-09-06	2	False
2020-09-13	0	False
2020-09-20	4	False
2020-09-27	6	False
2020-10-04	4	False
2020-10-11	4	False
2020-10-18	3	False
2020-10-25	0	False
2020-11-01	2	False
2020-11-08	4	False
2020-11-15	9	False
2020-11-22	7	False
2020-11-29	0	False
2020-12-06	2	False
2020-12-13	3	False
2020-12-20	0	False
2020-12-27	6	False
2021-01-03	4	False
2021-01-10	4	False
2021-01-17	4	False
2021-01-24	0	False
2021-01-31	5	False
2021-02-07	3	False
2021-02-14	3	False
2021-02-21	6	False
2021-02-28	3	False
2021-03-07	4	False
2021-03-14	4	False
2021-03-21	0	False
2021-03-28	0	False
2021-04-04	10	False
2021-04-11	0	False
2021-04-18	4	False
2021-04-25	9	False
2021-05-02	0	False
2021-05-09	4	False
2021-05-16	0	False
2021-05-23	0	False
2021-05-30	3	False
2021-06-06	7	False
2021-06-13	0	False
2021-06-20	4	False
2021-06-27	5	False
2021-07-04	3	False
2021-07-11	2	False
2021-07-18	0	False
2021-07-25	0	False
2021-08-01	4	False
2021-08-08	3	False
2021-08-15	0	False
2021-08-22	4	False
2021-08-29	0	False
2021-09-05	0	False
2021-09-12	0	False
2021-09-19	2	False
2021-09-26	0	False
2021-10-03	0	False
2021-10-10	4	False
2021-10-17	0	False
2021-10-24	0	False
2021-10-31	0	False
2021-11-07	4	False
2021-11-14	3	False
2021-11-21	4	False
2021-11-28	2	False
2021-12-05	9	False
2021-12-12	0	False
2021-12-19	0	False
2021-12-26	0	False
2022-01-02	5	False
2022-01-09	3	False
2022-01-16	7	False
2022-01-23	7	False
2022-01-30	5	False
2022-02-06	4	False
2022-02-13	4	False
2022-02-20	7	False
2022-02-27	3	False
2022-03-06	7	False
2022-03-13	1	False
2022-03-20	4	False
2022-03-27	4	False
2022-04-03	0	False
2022-04-10	6	False
2022-04-17	3	False
2022-04-24	0	False
2022-05-01	0	False
2022-05-08	5	False
2022-05-15	0	False
2022-05-22	4	False
2022-05-29	0	False
2022-06-05	0	False
2022-06-12	5	False
2022-06-19	0	False
2022-06-26	5	False
2022-07-03	0	False
2022-07-10	6	False
2022-07-17	0	False
2022-07-24	7	False
2022-07-31	0	False
2022-08-07	0	False
2022-08-14	5	False
2022-08-21	6	False
2022-08-28	4	False
2022-09-04	0	False
2022-09-11	6	False
2022-09-18	7	False
2022-09-25	3	False
2022-10-02	2	False
2022-10-09	0	False
2022-10-16	8	False
2022-10-23	11	False
2022-10-30	6	False
2022-11-06	0	False
2022-11-13	7	False
2022-11-20	0	False
2022-11-27	7	False
2022-12-04	6	False
2022-12-11	0	False
2022-12-18	0	False
2022-12-25	5	False
2023-01-01	6	False
2023-01-08	9	False
2023-01-15	4	False
2023-01-22	0	False
2023-01-29	20	False
2023-02-05	17	False
2023-02-12	0	False
2023-02-19	3	False
2023-02-26	0	False
2023-03-05	0	False
2023-03-12	0	False
2023-03-19	11	False
2023-03-26	0	False
2023-04-02	7	False
2023-04-09	0	False
2023-04-16	6	False
2023-04-23	0	False
2023-04-30	0	False
2023-05-07	13	False
2023-05-14	0	False
2023-05-21	8	False
2023-05-28	0	False
2023-06-04	0	False
2023-06-11	11	False
2023-06-18	0	False
2023-06-25	9	False
2023-07-02	0	False
2023-07-09	24	False
2023-07-16	0	False
2023-07-23	0	False
2023-07-30	100	False
2023-08-06	94	False
2023-08-13	68	False
2023-08-20	49	False
2023-08-27	51	False
2023-09-03	44	False
2023-09-10	46	False
2023-09-17	65	False
2023-09-24	60	False
2023-10-01	54	False
2023-10-08	0	False
2023-10-15	0	False
2023-10-22	37	False
2023-10-29	0	False
