date	blue lobster	isPartial
2019-01-06	14	False
2019-01-13	19	False
2019-01-20	14	False
2019-01-27	13	False
2019-02-03	10	False
2019-02-10	18	False
2019-02-17	13	False
2019-02-24	13	False
2019-03-03	14	False
2019-03-10	17	False
2019-03-17	13	False
2019-03-24	13	False
2019-03-31	14	False
2019-04-07	12	False
2019-04-14	14	False
2019-04-21	13	False
2019-04-28	13	False
2019-05-05	19	False
2019-05-12	15	False
2019-05-19	12	False
2019-05-26	13	False
2019-06-02	15	False
2019-06-09	42	False
2019-06-16	37	False
2019-06-23	18	False
2019-06-30	18	False
2019-07-07	15	False
2019-07-14	15	False
2019-07-21	17	False
2019-07-28	20	False
2019-08-04	20	False
2019-08-11	19	False
2019-08-18	15	False
2019-08-25	16	False
2019-09-01	16	False
2019-09-08	14	False
2019-09-15	12	False
2019-09-22	13	False
2019-09-29	12	False
2019-10-06	12	False
2019-10-13	12	False
2019-10-20	13	False
2019-10-27	10	False
2019-11-03	12	False
2019-11-10	11	False
2019-11-17	12	False
2019-11-24	11	False
2019-12-01	10	False
2019-12-08	14	False
2019-12-15	31	False
2019-12-22	18	False
2019-12-29	18	False
2020-01-05	13	False
2020-01-12	12	False
2020-01-19	14	False
2020-01-26	11	False
2020-02-02	12	False
2020-02-09	17	False
2020-02-16	15	False
2020-02-23	16	False
2020-03-01	14	False
2020-03-08	12	False
2020-03-15	10	False
2020-03-22	9	False
2020-03-29	11	False
2020-04-05	12	False
2020-04-12	12	False
2020-04-19	12	False
2020-04-26	16	False
2020-05-03	16	False
2020-05-10	18	False
2020-05-17	17	False
2020-05-24	16	False
2020-05-31	16	False
2020-06-07	14	False
2020-06-14	17	False
2020-06-21	22	False
2020-06-28	16	False
2020-07-05	19	False
2020-07-12	22	False
2020-07-19	17	False
2020-07-26	60	False
2020-08-02	23	False
2020-08-09	20	False
2020-08-16	16	False
2020-08-23	14	False
2020-08-30	16	False
2020-09-06	13	False
2020-09-13	14	False
2020-09-20	12	False
2020-09-27	12	False
2020-10-04	12	False
2020-10-11	11	False
2020-10-18	8	False
2020-10-25	12	False
2020-11-01	9	False
2020-11-08	10	False
2020-11-15	11	False
2020-11-22	11	False
2020-11-29	12	False
2020-12-06	10	False
2020-12-13	10	False
2020-12-20	10	False
2020-12-27	17	False
2021-01-03	11	False
2021-01-10	12	False
2021-01-17	12	False
2021-01-24	10	False
2021-01-31	12	False
2021-02-07	14	False
2021-02-14	13	False
2021-02-21	13	False
2021-02-28	14	False
2021-03-07	13	False
2021-03-14	12	False
2021-03-21	12	False
2021-03-28	15	False
2021-04-04	11	False
2021-04-11	11	False
2021-04-18	18	False
2021-04-25	17	False
2021-05-02	17	False
2021-05-09	16	False
2021-05-16	14	False
2021-05-23	14	False
2021-05-30	15	False
2021-06-06	15	False
2021-06-13	15	False
2021-06-20	18	False
2021-06-27	15	False
2021-07-04	19	False
2021-07-11	18	False
2021-07-18	29	False
2021-07-25	17	False
2021-08-01	16	False
2021-08-08	20	False
2021-08-15	16	False
2021-08-22	18	False
2021-08-29	19	False
2021-09-05	18	False
2021-09-12	13	False
2021-09-19	13	False
2021-09-26	13	False
2021-10-03	12	False
2021-10-10	13	False
2021-10-17	12	False
2021-10-24	10	False
2021-10-31	11	False
2021-11-07	16	False
2021-11-14	12	False
2021-11-21	9	False
2021-11-28	10	False
2021-12-05	9	False
2021-12-12	12	False
2021-12-19	13	False
2021-12-26	14	False
2022-01-02	11	False
2022-01-09	10	False
2022-01-16	14	False
2022-01-23	13	False
2022-01-30	13	False
2022-02-06	12	False
2022-02-13	14	False
2022-02-20	13	False
2022-02-27	14	False
2022-03-06	12	False
2022-03-13	13	False
2022-03-20	13	False
2022-03-27	14	False
2022-04-03	12	False
2022-04-10	13	False
2022-04-17	12	False
2022-04-24	12	False
2022-05-01	11	False
2022-05-08	13	False
2022-05-15	15	False
2022-05-22	16	False
2022-05-29	14	False
2022-06-05	12	False
2022-06-12	14	False
2022-06-19	16	False
2022-06-26	15	False
2022-07-03	39	False
2022-07-10	22	False
2022-07-17	19	False
2022-07-24	17	False
2022-07-31	15	False
2022-08-07	17	False
2022-08-14	44	False
2022-08-21	33	False
2022-08-28	42	False
2022-09-04	33	False
2022-09-11	100	False
2022-09-18	63	False
2022-09-25	42	False
2022-10-02	35	False
2022-10-09	40	False
2022-10-16	39	False
2022-10-23	37	False
2022-10-30	38	False
2022-11-06	33	False
2022-11-13	34	False
2022-11-20	34	False
2022-11-27	40	False
2022-12-04	33	False
2022-12-11	29	False
2022-12-18	30	False
2022-12-25	33	False
2023-01-01	40	False
2023-01-08	35	False
2023-01-15	32	False
2023-01-22	30	False
2023-01-29	28	False
2023-02-05	45	False
2023-02-12	32	False
2023-02-19	31	False
2023-02-26	28	False
2023-03-05	24	False
2023-03-12	25	False
2023-03-19	25	False
2023-03-26	26	False
2023-04-02	25	False
2023-04-09	22	False
2023-04-16	24	False
2023-04-23	24	False
2023-04-30	21	False
2023-05-07	24	False
2023-05-14	23	False
2023-05-21	23	False
2023-05-28	21	False
2023-06-04	22	False
2023-06-11	23	False
2023-06-18	26	False
2023-06-25	26	False
2023-07-02	26	False
2023-07-09	23	False
2023-07-16	23	False
2023-07-23	27	False
2023-07-30	24	False
2023-08-06	22	False
2023-08-13	20	False
2023-08-20	21	False
2023-08-27	21	False
2023-09-03	20	False
2023-09-10	18	False
2023-09-17	24	False
2023-09-24	19	False
2023-10-01	16	False
2023-10-08	19	False
2023-10-15	20	False
2023-10-22	19	False
2023-10-29	17	False
