date	hello kitty girl	isPartial
2019-01-06	9	False
2019-01-13	9	False
2019-01-20	7	False
2019-01-27	6	False
2019-02-03	10	False
2019-02-10	9	False
2019-02-17	9	False
2019-02-24	8	False
2019-03-03	10	False
2019-03-10	6	False
2019-03-17	8	False
2019-03-24	5	False
2019-03-31	9	False
2019-04-07	6	False
2019-04-14	8	False
2019-04-21	7	False
2019-04-28	9	False
2019-05-05	9	False
2019-05-12	5	False
2019-05-19	7	False
2019-05-26	8	False
2019-06-02	7	False
2019-06-09	5	False
2019-06-16	9	False
2019-06-23	9	False
2019-06-30	9	False
2019-07-07	7	False
2019-07-14	7	False
2019-07-21	9	False
2019-07-28	7	False
2019-08-04	10	False
2019-08-11	10	False
2019-08-18	7	False
2019-08-25	10	False
2019-09-01	8	False
2019-09-08	9	False
2019-09-15	8	False
2019-09-22	6	False
2019-09-29	10	False
2019-10-06	9	False
2019-10-13	7	False
2019-10-20	9	False
2019-10-27	12	False
2019-11-03	11	False
2019-11-10	12	False
2019-11-17	11	False
2019-11-24	10	False
2019-12-01	8	False
2019-12-08	11	False
2019-12-15	7	False
2019-12-22	8	False
2019-12-29	9	False
2020-01-05	9	False
2020-01-12	9	False
2020-01-19	5	False
2020-01-26	7	False
2020-02-02	12	False
2020-02-09	10	False
2020-02-16	9	False
2020-02-23	7	False
2020-03-01	7	False
2020-03-08	7	False
2020-03-15	7	False
2020-03-22	8	False
2020-03-29	8	False
2020-04-05	9	False
2020-04-12	9	False
2020-04-19	10	False
2020-04-26	9	False
2020-05-03	10	False
2020-05-10	8	False
2020-05-17	10	False
2020-05-24	11	False
2020-05-31	10	False
2020-06-07	9	False
2020-06-14	13	False
2020-06-21	8	False
2020-06-28	15	False
2020-07-05	13	False
2020-07-12	10	False
2020-07-19	12	False
2020-07-26	13	False
2020-08-02	15	False
2020-08-09	17	False
2020-08-16	13	False
2020-08-23	14	False
2020-08-30	12	False
2020-09-06	19	False
2020-09-13	18	False
2020-09-20	14	False
2020-09-27	14	False
2020-10-04	14	False
2020-10-11	16	False
2020-10-18	19	False
2020-10-25	17	False
2020-11-01	13	False
2020-11-08	18	False
2020-11-15	45	False
2020-11-22	18	False
2020-11-29	20	False
2020-12-06	18	False
2020-12-13	14	False
2020-12-20	13	False
2020-12-27	11	False
2021-01-03	14	False
2021-01-10	13	False
2021-01-17	12	False
2021-01-24	15	False
2021-01-31	14	False
2021-02-07	18	False
2021-02-14	18	False
2021-02-21	14	False
2021-02-28	15	False
2021-03-07	13	False
2021-03-14	10	False
2021-03-21	13	False
2021-03-28	11	False
2021-04-04	16	False
2021-04-11	12	False
2021-04-18	14	False
2021-04-25	11	False
2021-05-02	0	False
2021-05-09	11	False
2021-05-16	10	False
2021-05-23	0	False
2021-05-30	11	False
2021-06-06	12	False
2021-06-13	0	False
2021-06-20	12	False
2021-06-27	15	False
2021-07-04	15	False
2021-07-11	13	False
2021-07-18	0	False
2021-07-25	0	False
2021-08-01	13	False
2021-08-08	12	False
2021-08-15	14	False
2021-08-22	12	False
2021-08-29	0	False
2021-09-05	0	False
2021-09-12	0	False
2021-09-19	12	False
2021-09-26	0	False
2021-10-03	0	False
2021-10-10	17	False
2021-10-17	0	False
2021-10-24	14	False
2021-10-31	0	False
2021-11-07	14	False
2021-11-14	14	False
2021-11-21	11	False
2021-11-28	15	False
2021-12-05	16	False
2021-12-12	0	False
2021-12-19	0	False
2021-12-26	20	False
2022-01-02	17	False
2022-01-09	20	False
2022-01-16	16	False
2022-01-23	15	False
2022-01-30	17	False
2022-02-06	14	False
2022-02-13	13	False
2022-02-20	17	False
2022-02-27	14	False
2022-03-06	16	False
2022-03-13	16	False
2022-03-20	15	False
2022-03-27	17	False
2022-04-03	0	False
2022-04-10	14	False
2022-04-17	18	False
2022-04-24	0	False
2022-05-01	0	False
2022-05-08	17	False
2022-05-15	0	False
2022-05-22	21	False
2022-05-29	0	False
2022-06-05	0	False
2022-06-12	14	False
2022-06-19	0	False
2022-06-26	17	False
2022-07-03	0	False
2022-07-10	21	False
2022-07-17	0	False
2022-07-24	20	False
2022-07-31	0	False
2022-08-07	0	False
2022-08-14	19	False
2022-08-21	22	False
2022-08-28	21	False
2022-09-04	0	False
2022-09-11	21	False
2022-09-18	23	False
2022-09-25	20	False
2022-10-02	19	False
2022-10-09	0	False
2022-10-16	21	False
2022-10-23	23	False
2022-10-30	22	False
2022-11-06	0	False
2022-11-13	22	False
2022-11-20	0	False
2022-11-27	22	False
2022-12-04	35	False
2022-12-11	27	False
2022-12-18	0	False
2022-12-25	26	False
2023-01-01	26	False
2023-01-08	23	False
2023-01-15	100	False
2023-01-22	0	False
2023-01-29	60	False
2023-02-05	53	False
2023-02-12	0	False
2023-02-19	38	False
2023-02-26	0	False
2023-03-05	0	False
2023-03-12	0	False
2023-03-19	46	False
2023-03-26	0	False
2023-04-02	34	False
2023-04-09	0	False
2023-04-16	40	False
2023-04-23	0	False
2023-04-30	0	False
2023-05-07	33	False
2023-05-14	0	False
2023-05-21	30	False
2023-05-28	0	False
2023-06-04	0	False
2023-06-11	29	False
2023-06-18	0	False
2023-06-25	30	False
2023-07-02	0	False
2023-07-09	29	False
2023-07-16	0	False
2023-07-23	0	False
2023-07-30	29	False
2023-08-06	32	False
2023-08-13	72	False
2023-08-20	52	False
2023-08-27	40	False
2023-09-03	39	False
2023-09-10	32	False
2023-09-17	36	False
2023-09-24	40	False
2023-10-01	47	False
2023-10-08	0	False
2023-10-15	0	False
2023-10-22	37	False
2023-10-29	0	False
